112.679257075      37.720523183       0.00	3.034325	0.000000  1592479014.0574
112.679257071      37.720523189       0.00	3.034377	0.000000  1592479014.1569
112.679257100      37.720523134       0.00	3.034429	0.000000  1592479014.2575
112.679257097      37.720523136       0.00	3.034464	0.000000  1592479014.3571
112.679257095      37.720523139       0.00	3.034482	0.000000  1592479014.4574
112.679257093      37.720523142       0.00	3.034412	0.000000  1592479014.5574
112.679257091      37.720523145       0.00	3.034447	0.000000  1592479014.6573
112.679257088      37.720523149       0.00	3.034499	0.000000  1592479014.7584
112.679257086      37.720523153       0.00	3.034516	0.000000  1592479014.8577
112.679257084      37.720523157       0.00	3.034499	0.000000  1592479014.9567
112.679257081      37.720523161       0.00	3.034569	0.000000  1592479015.0583
112.679257078      37.720523166       0.00	3.034499	0.000000  1592479015.1575
112.679257103      37.720523125       0.00	3.034395	0.000000  1592479015.2567
112.679257103      37.720523127       0.00	3.034429	0.000000  1592479015.3570
112.679257102      37.720523129       0.00	3.034499	0.000000  1592479015.4580
112.679257101      37.720523131       0.00	3.034464	0.000000  1592479015.5571
112.679257101      37.720523133       0.00	3.034429	0.000000  1592479015.6587
112.679257100      37.720523136       0.00	3.034429	0.000000  1592479015.7581
112.679257100      37.720523138       0.00	3.034429	0.000000  1592479015.8568
112.679257099      37.720523140       0.00	3.034447	0.000000  1592479015.9568
112.679257098      37.720523143       0.00	3.034412	0.000000  1592479016.0572
112.679257097      37.720523146       0.00	3.034412	0.000000  1592479016.1567
112.679257110      37.720523116       0.00	3.034359	0.000000  1592479016.2570
112.679257110      37.720523117       0.00	3.034342	0.000000  1592479016.3573
112.679257110      37.720523118       0.00	3.034377	0.000000  1592479016.4578
112.679257110      37.720523118       0.00	3.034342	0.000000  1592479016.5567
112.679257110      37.720523119       0.00	3.034342	0.000000  1592479016.6567
112.679257110      37.720523119       0.00	3.034342	0.000000  1592479016.7606
112.679257109      37.720523120       0.00	3.034307	0.000000  1592479016.8576
112.679257108      37.720523120       0.00	3.034290	0.000000  1592479016.9567
112.679257108      37.720523121       0.00	3.034377	0.000000  1592479017.0566
112.679257107      37.720523121       0.00	3.034464	0.000000  1592479017.1588
112.679257113      37.720523107       0.00	3.034464	0.000000  1592479017.2572
112.679257112      37.720523106       0.00	3.034464	0.000000  1592479017.3570
112.679257112      37.720523106       0.00	3.034429	0.000000  1592479017.4567
112.679257111      37.720523106       0.00	3.034447	0.000000  1592479017.5570
112.679257110      37.720523106       0.00	3.034429	0.000000  1592479017.6572
112.679257109      37.720523106       0.00	3.034412	0.000000  1592479017.7569
112.679257108      37.720523106       0.00	3.034447	0.000000  1592479017.8573
112.679257106      37.720523106       0.00	3.034395	0.000000  1592479017.9569
112.679257105      37.720523107       0.00	3.034377	0.000000  1592479018.0573
112.679257103      37.720523107       0.00	3.034307	0.000000  1592479018.1570
