112.679153914      37.720935479       1.02	1.537269	-0.145471  1592805784.4936
112.679153948      37.720936005       1.06	1.537984	-0.516980  1592805784.5917
112.679153984      37.720936603       1.16	1.539642	-0.190231  1592805784.6924
112.679154020      37.720937290       1.19	1.540846	0.223801  1592805784.7914
112.679154073      37.720937991       1.24	1.537269	-0.038046  1592805784.8912
112.679154118      37.720938685       1.24	1.537338	-0.038046  1592805784.9909
112.679154169      37.720939420       1.33	1.535994	-0.044760  1592805785.0911
112.679153986      37.720940335       1.37	1.529362	0.324512  1592805785.1912
112.679154054      37.720941145       1.43	1.518838	1.060817  1592805785.2912
112.679154133      37.720941967       1.45	1.504421	1.427851  1592805785.3913
112.679154232      37.720942749       1.34	1.476496	1.246572  1592805785.4919
112.679154341      37.720943475       1.40	1.447489	0.875062  1592805785.5911
112.679154489      37.720944232       1.42	1.431257	0.588597  1592805785.6909
112.679154645      37.720945038       1.42	1.419756	0.588597  1592805785.7910
112.679154778      37.720945796       1.37	1.410069	0.295417  1592805785.8911
112.679154932      37.720946520       1.38	1.405147	-0.317797  1592805785.9910
112.679155101      37.720947312       1.47	1.399929	-0.445364  1592805786.0915
112.679155473      37.720948733       1.41	1.393855	0.563978  1592805786.1913
112.679155683      37.720949607       1.54	1.386001	0.901918  1592805786.2915
112.679155899      37.720950450       1.47	1.376000	0.434174  1592805786.3914
112.679156118      37.720951281       1.47	1.367273	0.434174  1592805786.4909
112.679156349      37.720952123       1.48	1.358302	0.400604  1592805786.5915
112.679156596      37.720952979       1.50	1.346120	0.669165  1592805786.6910
112.679156846      37.720953819       1.47	1.330587	0.684831  1592805786.7913
112.679157127      37.720954652       1.51	1.309747	1.074245  1592805786.8915
112.679157423      37.720955478       1.48	1.288437	0.933250  1592805786.9916
112.679157719      37.720956274       1.49	1.268627	0.649023  1592805787.0911
112.679157737      37.720957734       1.41	1.257265	0.132043  1592805787.1909
112.679158051      37.720958579       1.50	1.251733	0.355843  1592805787.2919
112.679158371      37.720959438       1.50	1.247631	0.355843  1592805787.3911
112.679158697      37.720960295       1.54	1.243373	0.219325  1592805787.4913
112.679159028      37.720961144       1.56	1.238713	0.102948  1592805787.5910
112.679159368      37.720962011       1.61	1.235239	-0.042522  1592805787.6913
112.679159725      37.720962897       1.53	1.230736	0.792256  1592805787.7910
112.679160099      37.720963790       1.54	1.222621	0.727353  1592805787.8916
112.679160483      37.720964669       1.58	1.209792	0.881776  1592805787.9913
112.679160883      37.720965542       1.58	1.198134	1.123482  1592805788.0911
112.679162124      37.720967391       1.58	1.184171	1.123482  1592805788.1910
112.679162576      37.720968281       1.52	1.169929	0.675879  1592805788.2934
112.679163040      37.720969182       1.55	1.159073	0.380462  1592805788.3909
112.679163522      37.720970098       1.50	1.149369	0.452078  1592805788.4912
112.679164011      37.720970999       1.61	1.135180	0.152185  1592805788.5911
112.679164507      37.720971883       1.60	1.124743	0.214849  1592805788.6911
112.679165005      37.720972768       1.65	1.118215	-0.203659  1592805788.7912
112.679165521      37.720973673       1.64	1.115911	0.089520  1592805788.8911
112.679166045      37.720974599       1.64	1.113171	0.089520  1592805788.9911
112.679166567      37.720975498       1.56	1.106870	0.568455  1592805789.0913
112.679166855      37.720975692       1.52	1.093641	1.295808  1592805789.1913
112.679167369      37.720976505       1.51	1.076746	0.866110  1592805789.2914
112.679167910      37.720977316       1.45	1.056500	0.904157  1592805789.3911
112.679168460      37.720978121       1.44	1.034404	0.749733  1592805789.4914
112.679169009      37.720978898       1.54	1.014333	0.998153  1592805789.5920
112.679169555      37.720979658       1.45	0.996967	0.295417  1592805789.6918
112.679170120      37.720980415       1.45	0.985675	0.295417  1592805789.7912
112.679170696      37.720981186       1.45	0.977367	0.176803  1592805789.8924
112.679171286      37.720981965       1.59	0.974382	0.147709  1592805789.9914
112.679171890      37.720982769       1.54	0.976390	-0.156661  1592805790.0910
112.679172027      37.720982796       1.60	0.978449	0.364796  1592805790.1912
112.679172633      37.720983563       1.47	0.973562	0.816874  1592805790.2912
112.679173213      37.720984278       1.47	0.962567	0.978011  1592805790.3915
112.679173819      37.720984989       1.58	0.945567	0.745257  1592805790.4912
112.679174474      37.720985740       1.58	0.935950	0.745257  1592805790.5913
112.679175125      37.720986496       1.53	0.923925	0.910870  1592805790.6914
112.679175778      37.720987217       1.55	0.907292	0.640071  1592805790.7915
112.679176465      37.720987943       1.59	0.887570	1.119005  1592805790.8921
112.679177196      37.720988685       1.58	0.865648	1.183908  1592805790.9921
112.679177914      37.720989414       1.61	0.847811	0.901918  1592805791.0912
112.679179111      37.720990649       1.69	0.837339	0.476696  1592805791.1910
112.679179896      37.720991385       1.65	0.831422	-0.022380  1592805791.2913
112.679180702      37.720992139       1.65	0.828194	-0.022380  1592805791.3917
112.679181518      37.720992895       1.74	0.824895	0.100710  1592805791.4913
112.679182335      37.720993642       1.63	0.818071	0.467745  1592805791.5910
112.679183160      37.720994371       1.66	0.806709	0.908633  1592805791.6910
112.679184000      37.720995104       1.63	0.793008	0.532647  1592805791.7920
112.679184839      37.720995824       1.68	0.780598	0.682593  1592805791.8914
112.679185704      37.720996546       1.70	0.768748	0.597549  1592805791.9911
112.679186598      37.720997274       1.73	0.757386	0.845968  1592805792.0909
112.679187680      37.720997714       1.66	0.745203	0.525933  1592805792.1913
112.679188605      37.720998390       1.66	0.729391	0.525933  1592805792.2925
112.679189520      37.720999040       1.70	0.708429	1.210763  1592805792.3912
112.679190443      37.720999662       1.69	0.686874	1.351758  1592805792.4922
112.679191373      37.721000276       1.68	0.664499	0.933250  1592805792.5913
112.679192301      37.721000871       1.55	0.647011	0.239467  1592805792.6911
112.679193210      37.721001445       1.51	0.634253	0.602025  1592805792.7915
112.679194131      37.721002005       1.55	0.623711	0.358082  1592805792.8909
112.679195068      37.721002564       1.66	0.611755	0.664689  1592805792.9914
